"Phi","T","H","min","max","SE","VAR"
"phi2",100,"Static H: 15",-60.4147834369782,4.18574683110187,3.00621440708357,9.03732506135684
"phi3",100,"Static H: 15",-2.82563315142401,3068951.5659141,163587.536001891,26760881935.1699
"phi4",100,"Static H: 15",-6979810.09268986,24.71553154709,310078.127033839,96148444864.8133
"phi1",300,"Static H: 15",0.387067421620766,2.55607031536775,0.480724331928065,0.231095883307685
"phi2",300,"Static H: 15",-12.4806945758826,2.3131751710866,1.5539694731423,2.41482112345816
"phi3",300,"Static H: 15",-0.611398902624596,0.184202599280394,0.175432728503637,0.0307766422302309
"phi4",300,"Static H: 15",0.198481755696626,4.00056904802173,0.559083180255984,0.312574002445145
"phi1",500,"Static H: 15",0.445298423314522,2.40372193642363,0.470361233189896,0.22123968968792
"phi2",500,"Static H: 15",-4.25339877557867,2.15714670266982,1.25409720141561,1.57275979059846
"phi3",500,"Static H: 15",-0.559489313469797,0.17955693057672,0.167504745599326,0.0280578397982951
"phi4",500,"Static H: 15",0.191181213799463,3.34256387863018,0.474646090696008,0.225288911413003
"phi1",700,"Static H: 15",0.431089284733029,2.12996560564236,0.471866783347325,0.222658261226552
"phi2",700,"Static H: 15",-4.02301228031863,2.12501330952169,1.10526623644243,1.22161345341961
"phi3",700,"Static H: 15",-0.506586739337115,0.126874570060211,0.166666209798317,0.0277776254885366
"phi4",700,"Static H: 15",0.142434963937193,2.88097560658971,0.421180051582535,0.177392635851066
"phi1",900,"Static H: 15",0.464996310595888,2.04114036230955,0.465092442783564,0.216310980334383
"phi2",900,"Static H: 15",-7.29998232661293,2.18813286605973,1.03851457504694,1.07851252258492
"phi3",900,"Static H: 15",-0.452306042061437,0.143237730100161,0.162118672307872,0.0262824639108671
"phi4",900,"Static H: 15",0.241925898328148,2.97562875544122,0.40140978142299,0.161129812622053
"phi1",100,"Static H: 20",-0.370515069364712,3279246.8472821,103706.695208974,10755078631.1671
"phi2",100,"Static H: 20",-13163466.1873743,3.60514156447095,416760.894985362,173689643589
"phi3",100,"Static H: 20",-1.21922360024304,5752101.07320707,281644.869269003,79323832385.5538
"phi4",100,"Static H: 20",-20208646.9459064,6.15139335330841,731181.827171361,534626864385.65
"phi1",300,"Static H: 20",0.33515453495025,2.75020413874367,0.486436484399253,0.236620453354705
"phi2",300,"Static H: 20",-14.4640116889354,2.42410538102733,1.63939654557497,2.68762103364314
"phi3",300,"Static H: 20",-0.721559750457425,541244.075787847,17115.6437754039,292945261.846523
"phi4",300,"Static H: 20",-2523110.84973249,3.35293555695601,79787.8261729398,6366097205.40325
"phi1",500,"Static H: 20",0.447232494412712,2.46084303400177,0.480323784866775,0.230710938308744
"phi2",500,"Static H: 20",-5.09638712154638,2.50724658635643,1.29500487366407,1.6770376228137
"phi3",500,"Static H: 20",-0.558948413097856,0.181216647768616,0.1720291611586,0.0295940322889317
"phi4",500,"Static H: 20",0.130289538412498,3.57417530016495,0.490837352770705,0.240921306874954
"phi1",700,"Static H: 20",0.426928791433257,2.12078212273492,0.473254753346672,0.223970061565219
"phi2",700,"Static H: 20",-3.77384722669394,2.1267913787688,1.11206877121296,1.23669695190709
"phi3",700,"Static H: 20",-0.506487994228526,0.1308490646087,0.167650104493575,0.0281065575367067
"phi4",700,"Static H: 20",0.197454736991737,2.88189792378054,0.409725046601975,0.167874613812991
"phi1",900,"Static H: 20",0.475224322895978,2.19000247717205,0.45966323230926,0.211290287136997
"phi2",900,"Static H: 20",-7.26144606682816,2.15678957816224,1.01321476724613,1.02660416456563
"phi3",900,"Static H: 20",-0.500910995992651,0.138308174856622,0.160557465741519,0.0257786998053391
"phi4",900,"Static H: 20",0.296153929348098,2.94942168338006,0.369117215795252,0.136247518996438
